Name,ScientificName,Category,Order,Family,Genus,ConservationStatus,MinLength,MaxLength,MinBodyMass,MaxBodyMass,MinWingspan,MaxWingspan
Rock wren,Salpinctes obsoletus,Wrens,Passeriformes,Troglodytidae,Salpinctes,LC,12.5,15,15,18,22,24
House wren,Troglodytes aedon,Wrens,Passeriformes,Troglodytidae,Troglodytes,LC,11,13,10,12,15,15
Winter wren,Troglodytes hiemalis,Wrens,Passeriformes,Troglodytidae,Nannus,LC,8,12,8,12,12,16
Sedge wren,Cistothorus platensis,Wrens,Passeriformes,Troglodytidae,Cistothorus,LC,10,12,7,10,12,14
Marsh wren,Cistothorus palustris,Wrens,Passeriformes,Troglodytidae,Cistothorus,LC,10,14,9,14,15,15
Carolina wren,Thryothorus ludovicianus,Wrens,Passeriformes,Troglodytidae,Thryothorus,LC,12.5,14,18,23,29,29
Bewick's wren,Thryomanes bewickii,Wrens,Passeriformes,Troglodytidae,Thryomanes,LC,13,13,8,12,18,18
Blue-gray gnatcatcher,Polioptila caerulea,Gnatcatchers,Passeriformes,Polioptilidae,Polioptila,LC,10,13,5,7,16,16
American dipper,Cinclus mexicanus,Dippers,Passeriformes,Cinclidae,Cinclus,LC,16.5,16.5,46,46,23,23
Golden-crowned kinglet,Regulus satrapa,Kinglets,Passeriformes,Regulidae,Regulus,LC,8,11,4,7.8,14,18
Ruby-crowned kinglet,Regulus calendula,Kinglets,Passeriformes,Regulidae,Regulus,LC,9,11,5,10,9,11
Northern wheatear,Oenanthe oenanthe,Old World flycatchers,Passeriformes,Muscicapidae,Oenanthe,LC,14.5,16,17,30,26,32
Eastern bluebird,Sialia sialis,Thrushes/Allies,Passeriformes,Turdidae,Sialia,LC,16,21,27,34,25,32
Mountain bluebird,Sialia currucoides,Thrushes/Allies,Passeriformes,Turdidae,Sialia,LC,15.5,18,24,37,28,36
Townsend's solitaire,Myadestes townsendi,Thrushes/Allies,Passeriformes,Turdidae,Myadestes,LC,20,24,34,34,37,37
Veery,Catharus fuscescens,Thrushes/Allies,Passeriformes,Turdidae,Catharus,LC,16,19.5,26,39,28.5,28.5
Gray-cheeked thrush,Catharus minimus,Thrushes/Allies,Passeriformes,Turdidae,Catharus,LC,16,17,26,30,32,34
Swainson's thrush,Catharus ustulatus,Thrushes/Allies,Passeriformes,Turdidae,Catharus,LC,16,20,23,45,30,30
Hermit thrush,Catharus guttatus,Thrushes/Allies,Passeriformes,Turdidae,Catharus,LC,15,18,18,37,25,30
Wood thrush,Hylocichla mustelina,Thrushes/Allies,Passeriformes,Turdidae,Hylocichla,NT,18,21.5,48,72,30,40
Fieldfare,Turdus pilaris,Thrushes/Allies,Passeriformes,Turdidae,Turdus,LC,25,25,80,140,39,42
American robin,Turdus migratorius,Thrushes/Allies,Passeriformes,Turdidae,Turdus,LC,23,28,59,94,31,41
Varied thrush,Ixoreus naevius,Thrushes/Allies,Passeriformes,Turdidae,Ixoreus,LC,20,26,65,100,34,42
Gray catbird,Dumetella carolinensis,Mockingbirds/Thrashers,Passeriformes,Mimidae,Dumetella,LC,20.5,24,23.2,56.5,22,30
Curve-billed thrasher,Toxostoma curvirostre,Mockingbirds/Thrashers,Passeriformes,Mimidae,Toxostoma,LC,27,28,60.8,93.6,34,34.5
Brown thrasher,Toxostoma rufum,Mockingbirds/Thrashers,Passeriformes,Mimidae,Toxostoma,LC,23.5,30.5,61,89,29,33
Sage thrasher,Oreoscoptes montanus,Mockingbirds/Thrashers,Passeriformes,Mimidae,Oreoscoptes,LC,20,23,40,50,32,32
Northern mockingbird,Mimus polyglottos,Mockingbirds/Thrashers,Passeriformes,Mimidae,Mimus,LC,20.5,28,40,58,31,38
European starling,Sturnus vulgaris,Starlings,Passeriformes,Sturnidae,Sturnus,LC,19,23,58,101,31,44
Bohemian waxwing,Bombycilla garrulus,Waxwings,Passeriformes,Bombycillidae,Bombycilla,LC,19,23,55,55,32,35.5
Cedar waxwing,Bombycilla cedrorum,Waxwings,Passeriformes,Bombycillidae,Bombycilla,LC,15,18,30,30,22,30
House sparrow,Passer domesticus,Old World sparrows,Passeriformes,Passeridae,Passer,LC,14,18,24,29.5,19,25
Eurasian tree sparrow,Passer montanus,Old World sparrows,Passeriformes,Passeridae,Passer,LC,12.5,14,24,24,21,21
American pipit,Anthus rubescens,Wagtails/Pitpits,Passeriformes,Motacillidae,Anthus,LC,16,16,22,22,24,24
Sprague's pipit,Anthus spragueii,Wagtails/Pitpits,Passeriformes,Motacillidae,Anthus,VU,15,17,18.2,27,25.4,25.4
Brambling,Fringilla montifringilla,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Fringilla,LC,16,16,23,29,25,26
Evening grosbeak,Coccothraustes vespertinus,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Coccothraustes,VU,16,22,38.7,86.1,30,36
Pine grosbeak,Pinicola enucleator,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Carduelinae,LC,20,25.5,52,78,33,33
Gray-crowned rosy-finch,Leucosticte tephrocotis,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Leucosticte,LC,14,16,22,60,33,33
House finch,Haemorhous mexicanus,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Haemorhous,LC,12.5,15,16,27,20,25
Purple finch,Haemorhous purpureus,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Haemorhous,LC,12,16,18,32,22,26
Cassin's finch,Haemorhous cassinii,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Haemorhous,LC,16,16,24,34,25,27
Common redpoll,Acanthis flammea,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Acanthis,LC,11.5,14,12,16,19,22
Hoary redpoll,Acanthis hornemanni,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Acanthis,LC,12,14,12,16,20,25
Red crossbill,Loxia curvirostra,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Loxia,LC,20,20,40,53,27,29
White-winged crossbill,Loxia leucoptera,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Loxia,LC,17,17,30,40,26,29
Pine siskin,Spinus pinus,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Spinus,LC,11,14,12,18,18,22
American goldfinch,Spinus tristis,Finches/Euphonias/Allies,Passeriformes,Fringillidae,Spinus,LC,11,14,11,20,19,22
Lapland longspur,Calcarius lapponicus,Longspurs/Snow buntings,Passeriformes,Calcariidae,Calcarius,LC,15,16,22.3,33.1,22,29
Chestnut-collared longspur,Calcarius ornatus,Longspurs/Snow buntings,Passeriformes,Calcariidae,Calcarius,VU,13,16.5,17,23,25,27
Smith's longspur,Calcarius pictus,Longspurs/Snow buntings,Passeriformes,Calcariidae,Calcarius,LC,15,17,20,32,25,25
Thick-billed longspur,Rhynchophanes mccownii,Longspurs/Snow buntings,Passeriformes,Calcariidae,Rhynchophanes,LC,15,15,25,25,28,28
Snow bunting,Plectrophenax nivalis,Longspurs/Snow buntings,Passeriformes,Calcariidae,Plextrophenax,LC,15,15,30,40,32,38
Grasshopper sparrow,Ammodramus savannarum,New World sparrows,Passeriformes,Passerellidae,Ammodramus,LC,10,14,13.8,28.4,17.5,17.5
Black-throated sparrow,Amphispiza bilineata,New World sparrows,Passeriformes,Passerellidae,Amphispiza,LC,12,14,11,15,19.5,19.5
Lark sparrow,Chondestes grammacus,New World sparrows,Passeriformes,Passerellidae,Chondestes,LC,15,17,24,33,28,28
Lark bunting,Calamospiza melanocorys,New World sparrows,Passeriformes,Passerellidae,Calamospiza,LC,14,18,35.3,41.3,25,28
Chipping sparrow,Spizella passerina,New World sparrows,Passeriformes,Passerellidae,Spizella,LC,12,15,11,16,21,21
Clay-colored sparrow,Spizella pallida,New World sparrows,Passeriformes,Passerellidae,Spizella,LC,12,15,12,12,19,19
Field sparrow,Spizella pusilla,New World sparrows,Passeriformes,Passerellidae,Spizella,LC,13,15,12.5,12.5,20,20
Brewer's sparrow,Spizella breweri,New World sparrows,Passeriformes,Passerellidae,Spizella,LC,13,15,11,14,18,20
Fox sparrow,Passerella iliaca,New World sparrows,Passeriformes,Passerellidae,Passerella,LC,15,19,26,44,26.7,29
American tree sparrow,Spizelloides arborea,New World sparrows,Passeriformes,Passerellidae,Spizelloides,LC,14,14,13,28,24,24
Dark-eyed junco,Junco hyemalis,New World sparrows,Passeriformes,Passerellidae,Junco,LC,13,17.5,18,30,18,25
White-crowned sparrow,Zonotrichia leucophrys,New World sparrows,Passeriformes,Passerellidae,Zonotrichia,LC,15,16,25,28,21,24
Golden-crowned sparrow,Zonotrichia atricapilla,New World sparrows,Passeriformes,Passerellidae,Zonotrichia,LC,15,18,19,35.4,24.75,24.75
Harris's sparrow,Zonotrichia querula,New World sparrows,Passeriformes,Passerellidae,Zonotrichia,NT,17,20,26,49,27,27
White-throated sparrow,Zonotrichia albicollis,New World sparrows,Passeriformes,Passerellidae,Zonotrichia,LC,15,19,22,32,23,23
Vesper sparrow,Pooecetes gramineus,New World sparrows,Passeriformes,Passerellidae,Pooecetes,LC,13,16,20,28,24,24
LeConte's sparrow,Ammospiza leconteii,New World sparrows,Passeriformes,Passerellidae,Ammospiza,LC,12,12,12,16,18,18
Nelson's sparrow,Ammospiza nelsoni,New World sparrows,Passeriformes,Passerellidae,Ammospiza,LC,11,13,17,21,16.5,20
Baird's sparrow,Centronyx bairdii,New World sparrows,Passeriformes,Passerellidae,Centronyx,LC,12,12,17,21,23,23
Henslow's sparrow,Centronyx henslowii,New World sparrows,Passeriformes,Passerellidae,Centronyx,LC,11,13,11,15,16,20
Savannah sparrow,Passerculus sandwichensis,New World sparrows,Passeriformes,Passerellidae,Passerculus,LC,11,17,15,29,18,25
Song sparrow,Melospiza melodia,New World sparrows,Passeriformes,Passerellidae,Melospiza,LC,11,18,11.9,53,18,25.4
Lincoln's sparrow,Melospiza lincolnii,New World sparrows,Passeriformes,Passerellidae,Melospiza,LC,13,15,17,19,19,22
Swamp sparrow,Melospiza georgiana,New World sparrows,Passeriformes,Passerellidae,Melospiza,LC,12,15,15,23,18,19
Spotted towhee,Pipilo maculatus,New World sparrows,Passeriformes,Passerellidae,Pipilo,LC,17,21,22,49,28,28
Eastern towhee,Pipilo erythrophthalmus,New World sparrows,Passeriformes,Passerellidae,Pipilo,LC,17.3,23,32,53,20,30
Yellow-breasted chat,Icteria virens,Yellow-breasted chat,Passeriformes,Icteridae,Icteria,LC,17,19.1,20.2,33.8,23,27
Yellow-headed blackbird,Xanthocephalus xanthocephalus,Troupials/Allies,Passeriformes,Icteridae,Xanthocephalus,LC,21,26,44,100,42,44
Bobolink,Dolichonyx oryzivorus,Troupials/Allies,Passeriformes,Icteridae,Dolichonyx,LC,15,21,29,56,27,27
Eastern meadowlark,Sturnella magna,Troupials/Allies,Passeriformes,Icteridae,Sturnella,NT,19,28,76,150,35,40
Western meadowlark,Sturnella neglecta,Troupials/Allies,Passeriformes,Icteridae,Sturnella,LC,16,26,89,115,41,41
Orchard oriole,Icterus spurius,Troupials/Allies,Passeriformes,Icteridae,Icterus,LC,15,18,16,28,25,25
Bullock's oriole,Icterus bullockii,Troupials/Allies,Passeriformes,Icteridae,Icterus,LC,17,19,29,43,31,31
Baltimore oriole,Icterus galbula,Troupials/Allies,Passeriformes,Icteridae,Icterus,LC,17,22,22.3,42,23,32
Scott's oriole,Icterus parisorum,Troupials/Allies,Passeriformes,Icteridae,Icterus,LC,23,23,32,41,32,32
Red-winged blackbird,Agelaius phoeniceus,Troupials/Allies,Passeriformes,Icteridae,Agelaius,LC,17,24,29,82,31,40
Brown-headed cowbird,Molothrus ater,Troupials/Allies,Passeriformes,Icteridae,Molothrus,LC,16,22,30,60,36,36
Rusty blackbird,Euphagus carolinus,Troupials/Allies,Passeriformes,Icteridae,Euphagus,VU,22,25,60,60,36,36
Brewer's blackbird,Euphagus cyanocephalus,Troupials/Allies,Passeriformes,Icteridae,Euphagus,LC,20,26,63,63,39,39
Common grackle,Quiscalus quiscula,Troupials/Allies,Passeriformes,Icteridae,Quiscalus,NT,28,34,74,142,36,46
Great-tailed grackle,Quiscalus mexicanus,Troupials/Allies,Passeriformes,Icteridae,Quiscalus,LC,38,46,115,265,48,58
Ovenbird,Seiurus aurocapilla,New World warblers,Passeriformes,Parulidae,Seiurus,LC,11,16,14,28.8,19,26
Worm-eating warbler,Helmitheros vermivorum,New World warblers,Passeriformes,Parulidae,Helmitheros,LC,11.2,13.1,12,14,20,22
Louisiana waterthrush,Parkesia motacilla,New World warblers,Passeriformes,Parulidae,Parkesia,LC,14,17,17.4,28,21,25.4
Northern waterthrush,Parkesia noveboracensis,New World warblers,Passeriformes,Parulidae,Parkesia,LC,12,15,13,25,21,24
Golden-winged warbler,Vermivora chrysoptera,New World warblers,Passeriformes,Parulidae,Vermivora,NT,11.6,11.6,8,10,20,20
Blue-winged warbler,Vermivora cyanoptera,New World warblers,Passeriformes,Parulidae,Vermivora,LC,11.4,12.7,8.5,8.5,17,19.5
Black-and-white warbler,Mniotilta varia,New World warblers,Passeriformes,Parulidae,Mniotilta,LC,11,13,8,15,18,22
Prothonotary warbler,Protonotaria citrea,New World warblers,Passeriformes,Parulidae,Protonotaria,LC,13,13,12.5,12.5,22,22
Tennessee warbler,Leiothlypis peregrina,New World warblers,Passeriformes,Parulidae,Leiothlypis,LC,11.5,11.5,10,10,19.7,19.7
Orange-crowned warbler,Leiothlypis celata,New World warblers,Passeriformes,Parulidae,Leiothlypis,LC,12,13,9,9,18.4,18.4
Nashville warbler,Leiothlypis ruficapilla,New World warblers,Passeriformes,Parulidae,Leiothlypis,LC,11,13,6.7,13.9,17,20
Connecticut warbler,Oporornis agilis,New World warblers,Passeriformes,Parulidae,Oporornis,LC,13,15,15,15,22,23
MacGillivray's warbler,Geothlypis tolmiei,New World warblers,Passeriformes,Parulidae,Geothlypis,LC,10,15,9,13,19,19
Mourning warbler,Geothlypis philadelphia,New World warblers,Passeriformes,Parulidae,Geothlypis,LC,10,15,11,13,18,18
Kentucky warbler,Geothlypis formosa,New World warblers,Passeriformes,Parulidae,Geothlypis,LC,13,13,13,14,20,22
Common yellowthroat,Geothlypis trichas,New World warblers,Passeriformes,Parulidae,Geothlypis,LC,11,13,9,10,15,19
Hooded warbler,Setophaga citrina,New World warblers,Passeriformes,Parulidae,Setophaga,LC,13,13,9,12,17.5,17.5
American redstart,Setophaga ruticilla,New World warblers,Passeriformes,Parulidae,Setophaga,LC,11,14,6.9,8.7,16,23
Kirtland's warbler,Setophaga kirtlandii,New World warblers,Passeriformes,Parulidae,Setophaga,NT,14,15,12,16,22,22
Cape May warbler,Setophaga tigrina,New World warblers,Passeriformes,Parulidae,Setophaga,LC,12,14,9,17.3,19,22
Cerulean warbler,Setophaga cerulea,New World warblers,Passeriformes,Parulidae,Setophaga,NT,11,11,8,10,20,20
Northern parula,Setophaga americana,New World warblers,Passeriformes,Parulidae,Setophaga,LC,10.8,12.4,5,11,16,18
Magnolia warbler,Setophaga magnolia,New World warblers,Passeriformes,Parulidae,Setophaga,LC,11,13,6.6,12.6,16,20
Bay-breasted warbler,Setophaga castanea,New World warblers,Passeriformes,Parulidae,Setophaga,LC,13,15,12.5,12.5,23,23
Blackburnian warbler,Setophaga fusca,New World warblers,Passeriformes,Parulidae,Setophaga,LC,11,13,8,13,20,22
Yellow warbler,Setophaga petechia,New World warblers,Passeriformes,Parulidae,Setophaga,LC,10,18,7,25,16,22
Chestnut-sided warbler,Setophaga pensylvanica,New World warblers,Passeriformes,Parulidae,Setophaga,LC,10,14,8,13.1,16,21
Blackpoll warbler,Setophaga striata,New World warblers,Passeriformes,Parulidae,Setophaga,NT,12.5,15,9.7,21,20,25
Black-throated blue warbler,Setophaga caerulescens,New World warblers,Passeriformes,Parulidae,Setophaga,LC,13,13,8.4,12.4,19,20
Palm warbler,Setophaga palmarum,New World warblers,Passeriformes,Parulidae,Setophaga,LC,12,14,7,13,20,21
Pine warbler,Setophaga pinus,New World warblers,Passeriformes,Parulidae,Setophaga,LC,12.7,14.6,12,12,22.2,22.2
Yellow-rumped warbler,Setophaga coronata,New World warblers,Passeriformes,Parulidae,Setophaga,LC,12,15,9.9,17.7,19,24
Yellow-throated warbler,Setophaga dominica,New World warblers,Passeriformes,Parulidae,Setophaga,LC,13,14,9,11,21,21
Prairie warbler,Setophaga discolor,New World warblers,Passeriformes,Parulidae,Setophaga,LC,11,12,7.7,7.7,18,18
Black-throated gray warbler,Setophaga nigrescens,New World warblers,Passeriformes,Parulidae,Setophaga,LC,13,13,8.4,8.4,19,19.7
Townsend's warbler,Setophaga townsendi,New World warblers,Passeriformes,Parulidae,Setophaga,LC,11,13,8.8,8.8,20,20
Hermit warbler,Setophaga occidentalis,New World warblers,Passeriformes,Parulidae,Setophaga,LC,14,14,9,13,20,20
Black-throated green warbler,Setophaga virens,New World warblers,Passeriformes,Parulidae,Setophaga,LC,11,12,7,11,17,20
Canada warbler,Cardellina canadensis,New World warblers,Passeriformes,Parulidae,Cardellina,LC,12,15,9,13,17,22
Wilson's warbler,Cardellina pusilla,New World warblers,Passeriformes,Parulidae,Cardellina,LC,10,12,5,10,14,17
Painted redstart,Myioborus pictus,New World warblers,Passeriformes,Parulidae,Myioborus,LC,13,15,8,11,21,21
Summer tanager,Piranga rubra,Cardinals/Allies,Passeriformes,Cardinalidae,Piranga,LC,17,17,29,29,28,30
Scarlet tanager,Piranga olivacea,Cardinals/Allies,Passeriformes,Cardinalidae,Piranga,LC,16,19,23.5,38,25,30
Western tanager,Piranga ludoviciana,Cardinals/Allies,Passeriformes,Cardinalidae,Piranga,LC,16,19,24,36,29,29
Northern cardinal,Cardinalis cardinalis,Cardinals/Allies,Passeriformes,Cardinalidae,Cardinalis,LC,21,23.5,33.6,65,25,31
Rose-breasted grosbeak,Pheucticus ludovicianus,Cardinals/Allies,Passeriformes,Cardinalidae,Pheucticus,LC,18,22,35,65,29,33
Black-headed grosbeak,Pheucticus melanocephalus,Cardinals/Allies,Passeriformes,Cardinalidae,Pheucticus,LC,18,19,34,49,32,32
Blue grosbeak,Passerina caerulea,Cardinals/Allies,Passeriformes,Cardinalidae,Passerina,LC,14,19,26,31.5,26,29
Lazuli bunting,Passerina amoena,Cardinals/Allies,Passeriformes,Cardinalidae,Passerina,LC,13,15,13,18,22,22
Indigo bunting,Passerina cyanea,Cardinals/Allies,Passeriformes,Cardinalidae,Passerina,LC,11.5,15,11.2,21.4,18,23
Painted bunting,Passerina ciris,Cardinals/Allies,Passeriformes,Cardinalidae,Passerina,LC,12,14,13,19,21,23
Dickcissel,Spiza americana,Cardinals/Allies,Passeriformes,Cardinalidae,Spiza,LC,14,16,25.6,38.4,24.8,26