Name,Scientific Name,Indicator or Other Notes,Category,State,Kingdom,Phylum,Class,Order,Family,Genus,Conservation status,Length Min (cm),Length Max (cm),Body Mass Min (g),Body Mass Max (g),Wingspan Min (cm),Wingspan Max (cm)
Long-billed murrelet,Brachyramphus perdix,(A),"Auks, murres, and puffins",,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,NT,25,25,310,210,43,43
Ancient murrelet,Synthliboramphus antiquus,(A),"Auks, murres, and puffins",,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,LC,20,24,153,250,45,46
Black-legged kittiwake,Rissa tridactyla,(C),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,VU,37,41,305,525,91,105
Ivory gull,Pagophila eburnea,(A),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Pagophila,NT,40,43,448,687,108,120
Sabine's gull,Xema sabini,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Xema,LC,27,33,135,225,81,87
Bonaparte's gull,Chroicocephalus philadelphia,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,LC,28,38,180,225,76,84
Black-headed gull,Chroicocephalus ridibundus,(A),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,LC,38,44,190,400,94,105
Little gull,Hydrocoloeus minutus,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydrocoloeus,LC,25,30,68,162,61,78
Ross's gull,Rhodostethia rosea,(A),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rhodostethia,LC,29,31,140,250,90,100
Laughing gull,Leucophaeus atricilla,(C),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,LC,36,41,203,371,98,110
Franklin's gull,Leucophaeus pipixcan,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,LC,32,36,230,300,85,95
Mew gull,Larus canus,(A),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,40,46,290,586,96,125
Ring-billed gull,Larus delawarensis,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,43,54,300,700,105,117
California gull,Larus californicus,(C),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,46,55,430,1045,122,137
Herring gull,Larus argentatus,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,53,66,600,1650,120,155
Iceland gull,Larus glaucoides,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,50,64,480,1100,115,150
Lesser black-backed gull,Larus fuscus,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,51,64,452,1100,124,150
Slaty-backed gull,Larus schistisagus,(C),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,55,68.5,1050,1700,52,63
Glaucous-winged gull,Larus glaucescens,(A),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,50,68,730,1690,120,150
Glaucous gull,Larus hyperboreus,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,55,77,960,2700,132,170
Great black-backed gull,Larus marinus,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,LC,64,79,750,2300,150,170
Least tern,Sternula antillarum,(C),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,LC,22,24,39,52,50,50
Gull-billed tern,Gelochelidon nilotica,(A),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon,LC,33,42,150,292,76,91
Caspian tern,Hydroprogne caspia,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,LC,48,60,530,782,127,145
Black tern,Chlidonias niger,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Childonias,LC,25,25,62,62,61,61
Common tern,Sterna hirundo,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,LC,31,35,110,141,77,98
Arctic tern,Sterna paradisaea,(C),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,LC,28,39,86,127,65,75
Forster's tern,Sterna forsteri,,"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,LC,33,36,130,190,64,70
Sandwich tern,Thalasseus sandvicensis,(A),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,LC,37,43,180,300,85,97
Elegant tern,Thalasseus elegans,(A),"Gulls, terns, and skimmers",,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,NT,39,42,190,325,76,81
Red-throated loon,Gavia stellata,,Loons,,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,LC,53,69,1000,2700,91,120
Pacific loon,Gavia pacifica,,Loons,,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,LC,58,74,1000,2500,110,128
Common loon,Gavia immer,,Loons,,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,LC,66,91,2200,7600,127,147
Yellow-billed loon,Gavia adamsii,(A),Loons,,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,NT,76,97,4000,6400,135,160
Northern fulmar,Fulmarus glacialis,(A),Shearwaters and petrels,,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,LC,46,46,450,1000,102,112
Wood stork,Mycteria americana,(A),Storks,,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,LC,83,115,2000,3300,140,180
Magnificent frigatebird,Fregata magnificens,(A),Frigatebirds,,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,LC,89,114,1100,1590,217,244
Double-crested cormorant,Phalacrocorax auritus,,Cormorants and shags,,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,LC,70,90,1200,2500,114,123
Neotropic cormorant,Phalacrocorax brasilianus,(A),Cormorants and shags,,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,LC,64,64,1000,1500,100,100
American white pelican,Pelecanus erythrorhynchos,,Pelicans,,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,LC,130,180,3500,13600,240,300
Brown pelican,Pelecanus occidentalis,(C),Pelicans,,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,LC,100,152,2000,5000,203,228
American bittern,Botaurus lentiginosus,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botarus,LC,58,85,370,1072,92,115
Least bittern,Ixobrychus exilis,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,LC,28,36,51,102,41,46
Great blue heron,Ardea herodias,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,LC,91,137,1820,3600,167,201
Great egret,Ardea alba,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,LC,80,104,700,1500,131,170
Snowy egret,Egretta thula,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,LC,56,66,370,370,100,100
Little blue heron,Egretta caerulea,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,LC,64,76,325,325,102,102
Tricolored heron,Egretta tricolor,(A),"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,LC,56,75,334,425,96,96
Cattle egret,Bubulcus ibis,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,LC,46,56,270,512,88,96
Green heron,Butorides virescens,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,LC,41,46,240,240,64,68
Black-crowned night-heron,Nycticorax nycticorax,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,LC,58,66,727,1014,115,118
Yellow-crowned night-heron,Nyctanassa violacea,,"Herons, egrets, and bitterns",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nyctsnassa,LC,55,70,650,850,101,112
White ibis,Eudocimus albus,(A),Ibises and spoonbills,,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,LC,53,70,592.7,1261,90,105
Glossy ibis,Plegadis falcinellus,(C),Ibises and spoonbills,,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,LC,48,66,485,970,80,105
White-faced ibis,Plegadis chihi,,Ibises and spoonbills,,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,LC,46,56,450,525,90,93
Roseate spoonbill,Ajaia ajaja,(A),Ibises and spoonbills,,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,LC,71,86,1200,1800,120,133
Black vulture,Coragyps atratus,(C),New World vultures,,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Coragyps,LC,56,74,1600,3000,133,167
Turkey vulture,Cathartes aura,,New World vultures,,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,LC,62,81,800,2410,160,183
Osprey,Pandion haliaetus,,Osprey,,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,LC,50,66,900,2100,127,180
White-tailed kite,Elanus leucurus,(A),"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,LC,35,43,250,380,88,102
Swallow-tailed kite,Elanoides forficatus,(A),"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanoides,LC,50,68,310,600,112,136
Golden eagle,Aquila chrysaetos,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,LC,66,102,2500,6350,180,234
Northern harrier,Circus hudsonius,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,LC,41,52,290,750,97,122
Sharp-shinned hawk,Accipiter striatus,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,LC,23,37,82,219,42,68
Cooper's hawk,Accipiter cooperii,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,LC,35,50,215,701,62,99
Northern goshawk,Accipiter gentilis,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,LC,46,69,357,1200,89,127
Bald eagle,Haliaeetus leucocephalus,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,LC,70,102,3000,6300,1800,2300
Mississippi kite,Ictinia mississippiensis,(C),"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,LC,30,37,214,388,91,91
Red-shouldered hawk,Buteo lineatus,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,LC,38,61,460,930,90,127
Broad-winged hawk,Buteo platypterus,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,LC,32,44,265,560,74,100
Swainson's hawk,Buteo swainsoni,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,LC,43,56,500,1700,117,137
Red-tailed hawk,Buteo jamaicensis,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,LC,45,65,690,1600,110,141
Rough-legged hawk,Buteo lagopus,,"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,LC,46,60,600,1660,120,153
Ferruginous hawk,Buteo regalis,(A),"Hawks, eagles, and kites",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,LC,51,69,907,2268,122,152
Barn owl,Tyto alba,(C),Barn-owls,,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,LC,33,39,224,710,80,95
Eastern screech-owl,Megascops asio,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,LC,16,25,121,244,46,61
Great horned owl,Bubo virginianus,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,LC,43,64,910,2500,91,153
Snowy owl,Bubo scandiacus,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,VU,52.5,64,1300,2951,116,165.6
Northern hawk owl,Surnia ulula,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Surnia,LC,36,42.5,300,300,45,45
Burrowing owl,Athene cunicularia,(C),Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,LC,19,28,140,240,50.8,61
Barred owl,Strix varia,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,LC,40,63,468,1150,96,125
Great gray owl,Strix nebulosa,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,LC,61,84,580,1900,140,142
Long-eared owl,Asio otus,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,LC,31,40,160,435,86,102
Short-eared owl,Asio flammeus,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,LC,34,43,206,475,85,110
Boreal owl,Aegolius funereus,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,LC,22,27,93,215,50,62
Northern saw-whet owl,Aegolius acadicus,,Owls,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,LC,17,22,54,151,42,56.3
Belted kingfisher,Megaeryle alcyon,,Kingfishers,,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,LC,28,35,113,178,48,58
Lewis's woodpecker,Melanerpes lewis,(C),Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,LC,26,28,88,138,49,52
Red-headed woodpecker,Melanerpes erythrocephalus,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,LC,19,25,56,97,42.5,42.5
Acorn woodpecker,Melanerpes formicivorus,(A),Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,LC,19,23,65,90,35,43
Red-bellied woodpecker,Melanerpes carolinus,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,LC,22.85,26.7,56,91,38,46
Williamson's sapsucker,Sphyrapicus thyroideus,(A),Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,LC,21,25,44,55,43,43
Yellow-bellied sapsucker,Sphyrapicus varius,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,LC,19,21,35,62,34,40
American three-toed woodpecker,Picoides dorsalis,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,LC,21,21,55,55,38,38
Black-backed woodpecker,Picoides arcticus,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,LC,23,23,61,88,40,42
Downy woodpecker,Dryobates pubescens,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,LC,14,18,20,33,25,31
Hairy woodpecker,Dryobates villosus,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Leuconotopicus,LC,18,26,40,95,33,43
Northern flicker,Colaptes auratus,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,LC,28,36,86,167,42,54
Pileated woodpecker,Dryocopus pileatus,,Woodpeckers,,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,LC,40,49,250,400,66,75
Crested caracara,Caracara cheriway,(A),Falcons and caracaras,,Animalia,Chordata,Aves,Falconformes,Falconidae,Caracara,LC,49,63,701,1387,118,132
American kestrel,Falco sparverius,,Falcons and caracaras,,Animalia,Chordata,Aves,Falconformes,Falconidae,Falco,LC,22,31,80,165,51,61
Merlin,Falco columbarius,,Falcons and caracaras,,Animalia,Chordata,Aves,Falconformes,Falconidae,Falco,LC,24,33,125,210,50,73
Gyrfalcon,Falco rusticolus,(C),Falcons and caracaras,,Animalia,Chordata,Aves,Falconformes,Falconidae,Hierofalco,LC,48,65,805,2100,110,160
Peregrine falcon,Falco peregrinus,,Falcons and caracaras,,Animalia,Chordata,Aves,Falconformes,Falconidae,Falco,LC,34,58,330,1500,74,120
Prairie falcon,Falco mexicanus,,Falcons and caracaras,,Animalia,Chordata,Aves,Falconformes,Falconidae,Falco,LC,37,45,500,970,1100,1100
Ash-throated flycatcher,Myiarchus cinerascens,(A),Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,LC,19,22,20,37,30,32
Great crested flycatcher,Myiarchus crinitus,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,LC,17,21,27,40,34,34
Tropical kingbird,Tyrannus melancholicus,(A),Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,LC,22,22,39,39,38,41
Cassin's kingbird,Tyrannus vociferans,(A),Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,LC,21,23,45,45,41,41
Western kingbird,Tyrannus verticalis,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,LC,20,24,40,40,39,39
Eastern kingbird,Tyrannus tyrannus,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,LC,19,23,33,55,33,38
Scissor-tailed flycatcher,Tyrannus forficatus,(C),Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,LC,38,38,43,43,15,15
Fork-tailed flycatcher,Tyrannus savana,(A),Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,LC,37,41,28,32,38,38
Olive-sided flycatcher,Contopus cooperi,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,NT,18,20,28,40.4,31.5,34.5
Western wood-pewee,Contopus sordidulus,(A),Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,LC,14,16,11,14,26,26
Eastern wood-pewee,Contopus virens,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,LC,13.5,15,14,14,23,26
Yellow-bellied flycatcher,Empidonax flaviventris,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,LC,13,15,9,16,18,20
Acadian flycatcher,Empidonax virescens,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,LC,14,15,11.1,13.9,22,23
Alder flycatcher,Empidonax alnorum,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,LC,13,17,12,14,21,24
Willow flycatcher,Empidonax traillii,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,LC,13,15,13.5,13.5,22,22
Least flycatcher,Empidonax minimus,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,LC,12,14,10.3,10.3,19,22
Eastern phoebe,Sayornis phoebe,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,LC,14,17,16,21,26,28
Say's phoebe,Sayornis saya,,Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,LC,19,19,21,21,33,33
Vermilion flycatcher,Pyrocephalus rubinus,(A),Tyrant flycatchers,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,LC,13,14,11,14,24,25
Loggerhead shrike,Lanius ludovicianus,,Shrikes,,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,NT,20,23,35,50,28,32
Northern shrike,Lanius borealis,,Shrikes,,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,LC,23,24,56,79,30,35
White-eyed vireo,Vireo griseus,(C),"Vireos, shrike-babblers, and erpornis",,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,LC,11,13,10,14,17,17
Bell's vireo,Vireo bellii,,"Vireos, shrike-babblers, and erpornis",,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,LC,11.5,12.5,7.4,9.8,17,19
Yellow-throated vireo,Vireo flavifrons,,"Vireos, shrike-babblers, and erpornis",,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,LC,13,15,15,21,23,23
Blue-headed vireo,Vireo solitarius,,"Vireos, shrike-babblers, and erpornis",,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,LC,12.6,14.8,13,19,20,24
Philadelphia vireo,Vireo philadelphicus,,"Vireos, shrike-babblers, and erpornis",,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,LC,11,13,12,12,20,20
Warbling vireo,Vireo gilvus,,"Vireos, shrike-babblers, and erpornis",,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,LC,12,13,10,16,22,22
Red-eyed vireo,Vireo olivaceus,,"Vireos, shrike-babblers, and erpornis",,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,LC,12,13,12,26,23,25
Canada jay,Perisoreus canadensis,,"Crows, jays, and magpies",,Animalia,Chordata,Aves,Passeriformes,Corvidae,Perisoreus,LC,25,33,65,70,45,45
Blue jay,Cyanocitta cristata,,"Crows, jays, and magpies",,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,LC,22,30,70,100,34,43
Clark's nutcracker,Nucifraga columbiana,(C),"Crows, jays, and magpies",,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,LC,27,30,106,161,46,46
Black-billed magpie,Pica hudsonia,,"Crows, jays, and magpies",,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,LC,45,60,141,216,17.5,21.9
American crow,Corvus brachyrhynchos,,"Crows, jays, and magpies",,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,LC,40,53,316,620,85,100
Common raven,Corvus corax,,"Crows, jays, and magpies",,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,LC,54,67,690,2000,115,150
Horned lark,Eremophila alpestris,,Larks,,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,LC,16,20,28,48,30,34
Bank swallow,Riparia riparia,,Swallows,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,LC,12,14,10.2,18.8,25,33
Tree swallow,Tachycineta bicolor,,Swallows,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,LC,12,14,17,25.5,30,35
Violet-green swallow,Tachycineta thalassina,(A),Swallows,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,LC,11.7,11.8,13.9,14.4,10.6,10.6
Northern rough-winged swallow,Stelgidopteryx serripennis,,Swallows,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,LC,13,15,10,18,27,30
Purple martin,Progne subis,,Swallows,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,LC,19,20,45,60,39,41
Barn swallow,Hirundo rustica,,Swallows,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,LC,17,19,16,22,32,34.5
Cliff swallow,Petrochelidon pyrrhonota,,Swallows,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,LC,13,15,19,31,28,33
Black-capped chickadee,Poecile atricapilla,,"Tits, chickadees, and titmice",,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,LC,12,15,9,14,16,21
Boreal chickadee,Poecile hudsonica,,"Tits, chickadees, and titmice",,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,LC,13,14,10,10,21,21
Tufted titmouse,Baeolophus bicolor,,"Tits, chickadees, and titmice",,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,LC,14,16,18,26,20,26
