Name,Scientific Name,Indicator or Other Notes,Category,State,Kingdom,Phylum,Class,Order,Family,Genus,Conservation status,Length Min (cm),Length Max (cm),Body Mass Min (g),Body Mass Max (g),Wingspan Min (cm),Wingspan Max (cm)
Red-breasted nuthatch,Sitta canadensis,,Nuthatches,,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,LC,11,11,9.9,9.9,22,22
White-breasted nuthatch,Sitta carolinensis,,Nuthatches,,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,LC,13,14,18,30,20,27
Pygmy nuthatch,Sitta pygmaea,(A),Nuthatches,,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,LC,9,11,9,11,19.7,19.7
Brown creeper,Certhia americana,,Treecreepers,,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,LC,12,14,5,10,17,20
Rock wren,Salpinctes obsoletus,(A),Wrens,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Salpinctes,LC,12.5,15,15,18,22,24
House wren,Troglodytes aedon,,Wrens,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,LC,11,13,10,12,15,15
Winter wren,Troglodytes hiemalis,,Wrens,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Nannus,LC,8,12,8,12,12,16
Sedge wren,Cistothorus platensis,,Wrens,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,LC,10,12,7,10,12,14
Marsh wren,Cistothorus palustris,,Wrens,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,LC,10,14,9,14,15,15
Carolina wren,Thryothorus ludovicianus,,Wrens,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryothorus,LC,12.5,14,18,23,29,29
Bewick's wren,Thryomanes bewickii,(A),Wrens,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes,LC,13,13,8,12,18,18
Blue-gray gnatcatcher,Polioptila caerulea,,Gnatcatchers,,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,LC,10,13,5,7,16,16
American dipper,Cinclus mexicanus,(A),Dippers,,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,LC,16.5,16.5,46,46,23,23
Golden-crowned kinglet,Regulus satrapa,,Kinglets,,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,LC,8,11,4,7.8,14,18
Ruby-crowned kinglet,Regulus calendula,,Kinglets,,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,LC,9,11,5,10,9,11
Northern wheatear,Oenanthe oenanthe,(A),Old World flycatchers,,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,LC,14.5,16,17,30,26,32
Eastern bluebird,Sialia sialis,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,LC,16,21,27,34,25,32
Mountain bluebird,Sialia currucoides,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,LC,15.5,18,24,37,28,36
Townsend's solitaire,Myadestes townsendi,(C),Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,LC,20,24,34,34,37,37
Veery,Catharus fuscescens,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,LC,16,19.5,26,39,28.5,28.5
Gray-cheeked thrush,Catharus minimus,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,LC,16,17,26,30,32,34
Swainson's thrush,Catharus ustulatus,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,LC,16,20,23,45,30,30
Hermit thrush,Catharus guttatus,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,LC,15,18,18,37,25,30
Wood thrush,Hylocichla mustelina,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,NT,18,21.5,48,72,30,40
Fieldfare,Turdus pilaris,(A),Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,LC,25,25,80,140,39,42
American robin,Turdus migratorius,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,LC,23,28,59,94,31,41
Varied thrush,Ixoreus naevius,,Thrushes and allies,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Ixoreus,LC,20,26,65,100,34,42
Gray catbird,Dumetella carolinensis,,Mockingbirds and thrashers,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Dumetella,LC,20.5,24,23.2,56.5,22,30
Curve-billed thrasher,Toxostoma curvirostre,(A),Mockingbirds and thrashers,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,LC,27,28,60.8,93.6,34,34.5
Brown thrasher,Toxostoma rufum,,Mockingbirds and thrashers,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,LC,23.5,30.5,61,89,29,33
Sage thrasher,Oreoscoptes montanus,(A),Mockingbirds and thrashers,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Oreoscoptes,LC,20,23,40,50,32,32
Northern mockingbird,Mimus polyglottos,,Mockingbirds and thrashers,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,LC,20.5,28,40,58,31,38
European starling,Sturnus vulgaris,(I),Starlings,,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,LC,19,23,58,101,31,44
Bohemian waxwing,Bombycilla garrulus,,Waxwings,,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,LC,19,23,55,55,32,35.5
Cedar waxwing,Bombycilla cedrorum,,Waxwings,,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,LC,15,18,30,30,22,30
House sparrow,Passer domesticus,(I),Old World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,LC,14,18,24,29.5,19,25
Eurasian tree sparrow,Passer montanus,(I),Old World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,LC,12.5,14,24,24,21,21
American pipit,Anthus rubescens,,Wagtails and pitpits,,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,LC,16,16,22,22,24,24
Sprague's pipit,Anthus spragueii,(C),Wagtails and pitpits,,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,VU,15,17,18.2,27,25.4,25.4
Brambling,Fringilla montifringilla,(A),"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,LC,16,16,23,29,25,26
Evening grosbeak,Coccothraustes vespertinus,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,VU,16,22,38.7,86.1,30,36
Pine grosbeak,Pinicola enucleator,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelinae,LC,20,25.5,52,78,33,33
Gray-crowned rosy-finch,Leucosticte tephrocotis,(C),"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,LC,14,16,22,60,33,33
House finch,Haemorhous mexicanus,(Native to the southwestern U.S.; introduced to the east),"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,LC,12.5,15,16,27,20,25
Purple finch,Haemorhous purpureus,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,LC,12,16,18,32,22,26
Cassin's finch,Haemorhous cassinii,(A),"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,LC,16,16,24,34,25,27
Common redpoll,Acanthis flammea,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,LC,11.5,14,12,16,19,22
Hoary redpoll,Acanthis hornemanni,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,LC,12,14,12,16,20,25
Red crossbill,Loxia curvirostra,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,LC,20,20,40,53,27,29
White-winged crossbill,Loxia leucoptera,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,LC,17,17,30,40,26,29
Pine siskin,Spinus pinus,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,LC,11,14,12,18,18,22
American goldfinch,Spinus tristis,,"Finches, euphonias, and allies",,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,LC,11,14,11,20,19,22
Lapland longspur,Calcarius lapponicus,,Longspurs and snow buntings,,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,LC,15,16,22.3,33.1,22,29
Chestnut-collared longspur,Calcarius ornatus,,Longspurs and snow buntings,,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,VU,13,16.5,17,23,25,27
Smith's longspur,Calcarius pictus,,Longspurs and snow buntings,,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,LC,15,17,20,32,25,25
Thick-billed longspur,Rhynchophanes mccownii,(A),Longspurs and snow buntings,,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Rhynchophanes,LC,15,15,25,25,28,28
Snow bunting,Plectrophenax nivalis,,Longspurs and snow buntings,,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Plextrophenax,LC,15,15,30,40,32,38
Grasshopper sparrow,Ammodramus savannarum,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,LC,10,14,13.8,28.4,17.5,17.5
Black-throated sparrow,Amphispiza bilineata,(A),New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Amphispiza,LC,12,14,11,15,19.5,19.5
Lark sparrow,Chondestes grammacus,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Chondestes,LC,15,17,24,33,28,28
Lark bunting,Calamospiza melanocorys,(C),New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Calamospiza,LC,14,18,35.3,41.3,25,28
Chipping sparrow,Spizella passerina,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,LC,12,15,11,16,21,21
Clay-colored sparrow,Spizella pallida,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,LC,12,15,12,12,19,19
Field sparrow,Spizella pusilla,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,LC,13,15,12.5,12.5,20,20
Brewer's sparrow,Spizella breweri,(A),New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,LC,13,15,11,14,18,20
Fox sparrow,Passerella iliaca,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerella,LC,15,19,26,44,26.7,29
American tree sparrow,Spizelloides arborea,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizelloides,LC,14,14,13,28,24,24
Dark-eyed junco,Junco hyemalis,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,LC,13,17.5,18,30,18,25
White-crowned sparrow,Zonotrichia leucophrys,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,LC,15,16,25,28,21,24
Golden-crowned sparrow,Zonotrichia atricapilla,(C),New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,LC,15,18,19,35.4,24.75,24.75
Harris's sparrow,Zonotrichia querula,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,NT,17,20,26,49,27,27
White-throated sparrow,Zonotrichia albicollis,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,LC,15,19,22,32,23,23
Vesper sparrow,Pooecetes gramineus,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pooecetes,LC,13,16,20,28,24,24
LeConte's sparrow,Ammospiza leconteii,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammospiza,LC,12,12,12,16,18,18
Nelson's sparrow,Ammospiza nelsoni,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammospiza,LC,11,13,17,21,16.5,20
Baird's sparrow,Centronyx bairdii,(A),New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,LC,12,12,17,21,23,23
Henslow's sparrow,Centronyx henslowii,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,LC,11,13,11,15,16,20
Savannah sparrow,Passerculus sandwichensis,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,LC,11,17,15,29,18,25
Song sparrow,Melospiza melodia,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,LC,11,18,11.9,53,18,25.4
Lincoln's sparrow,Melospiza lincolnii,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,LC,13,15,17,19,19,22
Swamp sparrow,Melospiza georgiana,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,LC,12,15,15,23,18,19
Green-tailed towhee,Pipilo chlorurus,(A),New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,LC,18.4,18.4,29,29,,
Spotted towhee,Pipilo maculatus,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,LC,17,21,22,49,28,28
Eastern towhee,Pipilo erythrophthalmus,,New World sparrows,,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,LC,17.3,23,32,53,20,30
Yellow-breasted chat,Icteria virens,,Yellow-breasted chat,,Animalia,Chordata,Aves,Passeriformes,Icteriidae,Icteria,LC,17,19.1,20.2,33.8,23,27
Yellow-headed blackbird,Xanthocephalus xanthocephalus,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Xanthocephalus,LC,21,26,44,100,42,44
Bobolink,Dolichonyx oryzivorus,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,LC,15,21,29,56,27,27
Eastern meadowlark,Sturnella magna,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,NT,19,28,76,150,35,40
Western meadowlark,Sturnella neglecta,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,LC,16,26,89,115,41,41
Orchard oriole,Icterus spurius,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,LC,15,18,16,28,25,25
Bullock's oriole,Icterus bullockii,(A),Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,LC,17,19,29,43,31,31
Baltimore oriole,Icterus galbula,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,LC,17,22,22.3,42,23,32
Scott's oriole,Icterus parisorum,(A),Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,LC,23,23,32,41,32,32
Red-winged blackbird,Agelaius phoeniceus,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,LC,17,24,29,82,31,40
Brown-headed cowbird,Molothrus ater,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,LC,16,22,30,60,36,36
Rusty blackbird,Euphagus carolinus,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,VU,22,25,60,60,36,36
Brewer's blackbird,Euphagus cyanocephalus,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,LC,20,26,63,63,39,39
Common grackle,Quiscalus quiscula,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,NT,28,34,74,142,36,46
Great-tailed grackle,Quiscalus mexicanus,,Troupials and allies,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,LC,38,46,115,265,48,58
Ovenbird,Seiurus aurocapilla,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Seiurus,LC,11,16,14,28.8,19,26
Worm-eating warbler,Helmitheros vermivorum,(C),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Helmitheros,LC,11.2,13.1,12,14,20,22
Louisiana waterthrush,Parkesia motacilla,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Parkesia,LC,14,17,17.4,28,21,25.4
Northern waterthrush,Parkesia noveboracensis,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Parkesia,LC,12,15,13,25,21,24
Golden-winged warbler,Vermivora chrysoptera,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,NT,11.6,11.6,8,10,20,20
Blue-winged warbler,Vermivora cyanoptera,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,LC,11.4,12.7,8.5,8.5,17,19.5
Black-and-white warbler,Mniotilta varia,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Mniotilta,LC,11,13,8,15,18,22
Prothonotary warbler,Protonotaria citrea,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Protonotaria,LC,13,13,12.5,12.5,22,22
Tennessee warbler,Leiothlypis peregrina,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,LC,11.5,11.5,10,10,19.7,19.7
Orange-crowned warbler,Leiothlypis celata,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,LC,12,13,9,9,18.4,18.4
Nashville warbler,Leiothlypis ruficapilla,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,LC,11,13,6.7,13.9,17,20
Connecticut warbler,Oporornis agilis,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Oporornis,LC,13,15,15,15,22,23
MacGillivray's warbler,Geothlypis tolmiei,(A),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,LC,10,15,9,13,19,19
Mourning warbler,Geothlypis philadelphia,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,LC,10,15,11,13,18,18
Kentucky warbler,Geothlypis formosa,(C),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,LC,13,13,13,14,20,22
Common yellowthroat,Geothlypis trichas,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,LC,11,13,9,10,15,19
Hooded warbler,Setophaga citrina,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,13,13,9,12,17.5,17.5
American redstart,Setophaga ruticilla,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,11,14,6.9,8.7,16,23
Kirtland's warbler,Setophaga kirtlandii,(A),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,NT,14,15,12,16,22,22
Cape May warbler,Setophaga tigrina,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,12,14,9,17.3,19,22
Cerulean warbler,Setophaga cerulea,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,NT,11,11,8,10,20,20
Northern parula,Setophaga americana,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,10.8,12.4,5,11,16,18
Magnolia warbler,Setophaga magnolia,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,11,13,6.6,12.6,16,20
Bay-breasted warbler,Setophaga castanea,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,13,15,12.5,12.5,23,23
Blackburnian warbler,Setophaga fusca,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,11,13,8,13,20,22
Yellow warbler,Setophaga petechia,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,10,18,7,25,16,22
Chestnut-sided warbler,Setophaga pensylvanica,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,10,14,8,13.1,16,21
Blackpoll warbler,Setophaga striata,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,NT,12.5,15,9.7,21,20,25
Black-throated blue warbler,Setophaga caerulescens,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,13,13,8.4,12.4,19,20
Palm warbler,Setophaga palmarum,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,12,14,7,13,20,21
Pine warbler,Setophaga pinus,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,12.7,14.6,12,12,22.2,22.2
Yellow-rumped warbler,Setophaga coronata,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,12,15,9.9,17.7,19,24
Yellow-throated warbler,Setophaga dominica,(C),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,13,14,9,11,21,21
Prairie warbler,Setophaga discolor,(C),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,11,12,7.7,7.7,18,18
Black-throated gray warbler,Setophaga nigrescens,(A),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,13,13,8.4,8.4,19,19.7
Townsend's warbler,Setophaga townsendi,(A),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,11,13,8.8,8.8,20,20
Hermit warbler,Setophaga occidentalis,(A),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,14,14,9,13,20,20
Black-throated green warbler,Setophaga virens,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,LC,11,12,7,11,17,20
Canada warbler,Cardellina canadensis,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,LC,12,15,9,13,17,22
Wilson's warbler,Cardellina pusilla,,New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,LC,10,12,5,10,14,17
Painted redstart,Myioborus pictus,(A),New World warblers,,Animalia,Chordata,Aves,Passeriformes,Parulidae,Myioborus,LC,13,15,8,11,21,21
Summer tanager,Piranga rubra,,Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,LC,17,17,29,29,28,30
Scarlet tanager,Piranga olivacea,,Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,LC,16,19,23.5,38,25,30
Western tanager,Piranga ludoviciana,,Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,LC,16,19,24,36,29,29
Northern cardinal,Cardinalis cardinalis,,Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,LC,21,23.5,33.6,65,25,31
Rose-breasted grosbeak,Pheucticus ludovicianus,,Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,LC,18,22,35,65,29,33
Black-headed grosbeak,Pheucticus melanocephalus,(C),Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,LC,18,19,34,49,32,32
Blue grosbeak,Passerina caerulea,,Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,LC,14,19,26,31.5,26,29
Lazuli bunting,Passerina amoena,(C),Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,LC,13,15,13,18,22,22
Indigo bunting,Passerina cyanea,,Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,LC,11.5,15,11.2,21.4,18,23
Painted bunting,Passerina ciris,(C),Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,LC,12,14,13,19,21,23
Dickcissel,Spiza americana,,Cardinals and allies,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,LC,14,16,25.6,38.4,24.8,26